name,type,type_en,tags
brand-jira,轮廓线,outline,"project, management, agile, software, tasks, issues, brand, jira, logo, company"
brand-juejin,轮廓线,outline,"development, new, technologies, developers, brand, juejin, logo, company, trademark, identity"
brand-kako-talk,轮廓线,outline,"kakao-talk, messaging, communication, chat, social, app, talk, branding, kakao, conversation"
brand-kbin,轮廓线,outline,"community, forum, discussion, post, share, topics, networking, interaction, engagement, conversation"
brand-kick,轮廓线,outline,"streaming, content, live, creator, broadcast, platform, video, streamer, interactive, audience"
brand-kickstarter,轮廓线,outline,"crowdfunding, platform, project, creative, idea, business, launch, technology, brand, kickstarter"
brand-kotlin,轮廓线,outline,"programming, language, programmer, development, developer, technology, brand, kotlin, logo, company"
brand-laravel,轮廓线,outline,"framework, software, php, modular, application, building, system, brand, laravel, logo"
brand-lastfm,轮廓线,outline,"radio station, website, music, media player, brand, lastfm, logo, company, trademark, identity"
brand-leetcode,轮廓线,outline,"coding, practice, challenges, programming, algorithm, prep, interview, solve, developer, test"
brand-letterboxd,轮廓线,outline,"movies, reviews, cinema, film, watchlist, critique, diary, ratings, discussion, community"
brand-line,轮廓线,outline,"chat, messaging, communication, social, app, connection, friends, call, stickers, interaction"
brand-linkedin,轮廓线,outline,"logo, website, corporation, work, business, internet, brand, linkedin, company, trademark"
brand-linktree,轮廓线,outline,"hyperlinks, social media, freemium service, website, brand, linktree, logo, company, trademark, identity"
brand-linqpad,轮廓线,outline,"framework, programmers, database, brand, linqpad, logo, company, trademark, identity, corporate"
brand-livewire,轮廓线,outline,"live, framework, dynamic, components, php, laravel, web, reactive, mvc, interface"
brand-loom,轮廓线,outline,"video, messages, osx, record, screen, camera, brand, loom, logo, company"
brand-mailgun,轮廓线,outline,"delivery, service, tracking, pickup, brand, mailgun, logo, company, trademark, identity"
brand-mantine,轮廓线,outline,"creation, web, application, development, brand, mantine, logo, company, trademark, identity"
brand-mastercard,轮廓线,outline,"payment, money, debit, finance, brand, mastercard, logo, company, trademark, identity"
brand-mastodon,轮廓线,outline,"web, app, social, nodes, network, brand, mastodon, logo, company, trademark"
brand-matrix,轮廓线,outline,"non, profit, communication, ip, devices, brand, matrix, logo, company, trademark"
brand-mcdonalds,轮廓线,outline,"food, cheeseburger, hamburger, fries, fastfood, brand, mcdonalds, logo, company, trademark"
brand-medium,轮廓线,outline,"logo, website, brand, wordmark, design, medium, company, trademark, identity, corporate"
brand-meetup,轮廓线,outline,"events, community, network, connect, social, group, organize, gather, activity, interaction"
brand-mercedes,轮廓线,outline,"car, racing, f1, bus, van, brand, mercedes, logo, company, trademark"
brand-messenger,轮廓线,outline,"logo, app, application, communication, text, messages, communicator, photos, images, videos, giphy"
brand-meta,轮廓线,outline,"social media, facebook, fb, instagram, messegner, giphy, brand, meta, logo, company"
brand-metabrainz,轮廓线,outline,"website, database, open-source, musicbrainz, listenbrainz, bookbrainz, critiquebrainz, brand, metabrainz, logo"
brand-minecraft,轮廓线,outline,"sandbox, build, exploration, blocks, creative, survival, craft, adventure, multiplayer, pixels"
brand-miniprogram,轮廓线,outline,"mini, apps, mobile, development, platform, integrate, features, experience, interaction, technology"
brand-mixpanel,轮廓线,outline,"analytics, buisness, software, application, brand, mixpanel, logo, company, trademark, identity"
brand-monday,轮廓线,outline,"software, application development, cloud base platform, brand, monday, logo, company, trademark, identity, corporate"
brand-mongodb,轮廓线,outline,"database, c++, system, open, programmers, brand, mongodb, logo, company, trademark"
brand-my-oppo,轮廓线,outline,"mobile, app, services, membership, brand, oppo, logo, company, trademark, identity"
brand-mysql,轮廓线,outline,"opensource, database, system, web, app, brand, mysql, logo, company, trademark"
brand-national-geographic,轮廓线,outline,"institution, scientific, educational, nonprofit, brand, national, geographic, logo, company, trademark"
brand-nem,轮廓线,outline,"coin, crypto, cryptocurrency, digital, brand, nem, logo, company, trademark, identity"
brand-netbeans,轮廓线,outline,"software, programming, tools, java, mobile devices, brand, netbeans, logo, company, trademark"
brand-netease-music,轮廓线,outline,"cloud, sound, app, stream, china, brand, netease, music, logo, company"
brand-netflix,轮廓线,outline,"series, tv, episode, movie, film, media, watch, app, technology, brand"
brand-nexo,轮廓线,outline,"coin, crypto, cryptocurrency, digital, brand, nexo, logo, company, trademark, identity"
brand-nextcloud,轮廓线,outline,"software, technology, file, hosting, php, javascript, brand, nextcloud, logo, company"
brand-nextjs,轮廓线,outline,"website creation, web platform, software, web application functions, brand, nextjs, logo, company, trademark, identity"
brand-nodejs,轮廓线,outline,"javascript, runtime, server, development, backend, framework, scalable, event, asynchronous, network"
brand-nord-vpn,轮廓线,outline,"protects, device, software, brand, nord, vpn, logo, company, trademark, identity"
brand-notion,轮廓线,outline,"software, note taking, project management, database, brand, notion, logo, company, trademark, identity"
brand-npm,轮廓线,outline,"package, manager, node.js, javascript, brand, npm, logo, company, trademark, identity"
brand-nuxt,轮廓线,outline,"software, app development, library, javascript, js, brand, nuxt, logo, company, trademark"
brand-nytimes,轮廓线,outline,"magazines, news, newspapper, website, brand, nytimes, logo, company, trademark, identity"
brand-oauth,轮廓线,outline,"authorization, protocol, access, web, api, secure, framework, token, authentication, client"
brand-office,轮廓线,outline,"text, editor, software, word, excel, brand, office, disabled, inactive, logo"
brand-ok-ru,轮廓线,outline,"socialmedia, message, posts, brand, logo, company, trademark, identity, corporate, ok"
brand-onedrive,轮廓线,outline,"virtual, disk, microsoft, cloud, brand, onedrive, logo, company, trademark, identity"
brand-onlyfans,轮廓线,outline,"website, platform, photos, videos, stream, pay, brand, onlyfans, logo, company"
brand-open-source,轮廓线,outline,"software, code, developer, public, licence, technology, brand, open, source, logo"
brand-openai,轮廓线,outline,"nonprofit, artificial, intelligence, website, brand, openai, logo, company, trademark, identity"
brand-openvpn,轮廓线,outline,"software, creating, secure, connection, brand, openvpn, logo, company, trademark, identity"
brand-opera,轮廓线,outline,"logo, browser, internet, free, program, brand, opera, company, trademark, identity"
brand-pagekit,轮廓线,outline,"content, management, system, website, component, modular, technology, brand, pagekit, logo"
brand-parsinta,轮廓线,outline,"learning, online, educational, courses, tutorials, platform, video, technology, knowledge, instruction"
brand-patreon,轮廓线,outline,"artist, software, creator, patron, art, subscription, income, earn, brand, patreon"
brand-paypal,轮廓线,outline,"logo, enterprise, service, payment, internet, businessman, consumer, brand, paypal, company"
brand-paypay,轮廓线,outline,"japan, electronic, payment, services, mobile, brand, paypay, logo, company, trademark"
brand-peanut,轮廓线,outline,"social, app, mobile, women, brand, peanut, logo, company, trademark, identity"
brand-pepsi,轮廓线,outline,"food, cola, coke, drink, bottle, carbonated, brand, pepsi, logo, company"
brand-php,轮廓线,outline,"programming, coding, script, format, file, brand, php, logo, company, trademark"
brand-picsart,轮廓线,outline,"photo, photography, software, video, editing, brand, picsart, logo, company, trademark"
brand-pinterest,轮廓线,outline,"logo, website, images, materials, brand, pinterest, company, trademark, identity, corporate"
brand-planetscale,轮廓线,outline,"mysql, database, developers, brand, planetscale, logo, company, trademark, identity, corporate"
brand-pnpm,轮廓线,outline,"package, manager, node, install, dependency, tool, efficient, workspace, framework, software"
brand-pocket,轮廓线,outline,"logo, software, application, app, mobile, device, gathering, storage, brand, pocket"
brand-polymer,轮廓线,outline,"plastic, chemistry, resin, material, molecule, industrial, science, engineering, synthetic, compound"
brand-powershell,轮廓线,outline,"microsoft, command, interpreter, software, opensource, brand, powershell, logo, company, trademark"
brand-printables,轮廓线,outline,"design, 3d, template, file, download, model, creative, digital, art, blueprint"
brand-prisma,轮廓线,outline,"software, open, source, tools, developer, platform, brand, prisma, logo, company"
brand-producthunt,轮廓线,outline,"technology, product, share, discover, new, novelty, web, geek, brand, producthunt"
brand-pushbullet,轮廓线,outline,"data, transfer, tool, software, brand, pushbullet, logo, company, trademark, identity"
brand-pushover,轮廓线,outline,"notifications, push, cloud based, mobile, app, brand, pushover, logo, company, trademark"
brand-python,轮廓线,outline,"logo, language, programming, source, brand, python, company, trademark, identity, corporate"
brand-qq,轮廓线,outline,"china, communicator, internet, brand, logo, company, trademark, identity, corporate, qq"
brand-radix-ui,轮廓线,outline,"opensource, library, web, application, high, quality, brand, radix, logo, company"
brand-react-native,轮廓线,outline,"programming, tools, app, javascript, js, brand, react, native, logo, company"
brand-react,轮廓线,outline,"library, javascript, creation, interface, software, brand, react, logo, company, trademark"
brand-reason,轮廓线,outline,"logic, debate, discussion, thinking, rational, argument, sense, intellect, judgment, mental"
brand-reddit,轮廓线,outline,"logo, website, information, link, internet, brand, reddit, company, trademark, identity"
brand-redhat,轮廓线,outline,"software, entrepreneurship, creation, brand, redhat, logo, company, trademark, identity, corporate"
brand-redux,轮廓线,outline,"library, javascript, menagment, centralization, application, status, brand, redux, logo, company"
brand-revolut,轮廓线,outline,"bank, money, finance, change, currency, brand, revolut, logo, company, trademark"
brand-rumble,轮廓线,outline,"clash, fight, battle, noise, audio, stream, video, platform, content, media"
brand-rust,轮廓线,outline,"metal, oxidation, language, programming, brown, corrosion, decay, software, development, code"
brand-safari,轮廓线,outline,"logo, browser, internet, iphone, ipad, MacBook, compass, apple, discover, brand"
brand-samsungpass,轮廓线,outline,"management, storage, personal, information, id, password, brand, samsungpass, logo, company"
brand-sass,轮廓线,outline,"technology, preprocessor, script, language, programming, css, syntax, compile, brand, sass"
brand-sentry,轮廓线,outline,"technology, application, monitoring, error, tracking, software, cloud, development, app, brand"
brand-sharik,轮廓线,outline,"file, sharing, wifi, mobile, hotspot, brand, sharik, logo, company, trademark"
brand-shazam,轮廓线,outline,"app, technology, device, music, sound, play, discover, artist, recognize, brand"
brand-shopee,轮廓线,outline,"shopping, online, media, shop, ecommerce, brand, shopee, logo, company, trademark"
brand-sketch,轮廓线,outline,"logo, editor, edit, apple, commercial, brand, sketch, company, trademark, identity"
brand-skype,轮廓线,outline,"logo, application, app, communication, talks, call, video, internet, camera, brand"
brand-slack,轮廓线,outline,"logo, free, internet, service, stuff, electron, app, application, communicator, textual, audio, multimedia"
brand-snapchat,轮廓线,outline,"logo, app, application, photos, sending, images, mobile, video, brand, snapchat"
brand-snapseed,轮廓线,outline,"edit, photo, editor, google, brand, snapseed, logo, company, trademark, identity"
brand-snowflake,轮廓线,outline,"data, cloud, platform, website, brand, snowflake, logo, company, trademark, identity"
brand-socket-io,轮廓线,outline,"library, javascript, web, app, communication, brand, socket, logo, company, trademark"
brand-solidjs,轮廓线,outline,"library, framework, developers, programmers, javascript, brand, solidjs, logo, company, trademark"
brand-soundcloud,轮廓线,outline,"technology, audio, distribution, platform, music, upload, promote, streaming, brand, soundcloud"
brand-spacehey,轮廓线,outline,"internet, network, social, website, brand, spacehey, logo, company, trademark, identity"
brand-speedtest,轮廓线,outline,"internet, connection, bandwidth, measurement, network, performance, speed, test, check, latency"
brand-spotify,轮廓线,outline,"logo, app, application, platform, music, listening, streaming, podcast, brand, spotify"
brand-stackoverflow,轮廓线,outline,"social, media, programming, website, brand, stackoverflow, logo, company, trademark, identity"
brand-stackshare,轮廓线,outline,"website, developers, tech, opensource, brand, stackshare, logo, company, trademark, identity"
brand-steam,轮廓线,outline,"technology, video, game, digital, distribution, software, player, pc, brand, steam"
brand-stocktwits,轮廓线,outline,"finance, investment, stock, trade, market, share, community, tweet, platform, discussion"
brand-storj,轮廓线,outline,"cloud, storage, decentralized, data, network, security, blockchain, sharing, space, file"
brand-storybook,轮廓线,outline,"tool, creation, interface, application, brand, storybook, logo, company, trademark, identity"
brand-storytel,轮廓线,outline,"audiobook, stream, phone, tablet, digital, subscription, service, brand, storytel, logo"
brand-strava,轮廓线,outline,"run, ride, hike, activity, gps, sport, app, brand, strava, logo"
brand-stripe,轮廓线,outline,"technology, payment, processing, money, subscription, finance, financial, software, e-commerce, brand"
brand-sublime-text,轮廓线,outline,"software, text, editing, programming, brand, sublime, logo, company, trademark, identity"
brand-sugarizer,轮廓线,outline,"learning, platform, webstie, child, brand, sugarizer, logo, company, trademark, identity"
brand-supabase,轮廓线,outline,"opensource, database, software, storage, brand, supabase, logo, company, trademark, identity"
brand-superhuman,轮廓线,outline,"software, email, productivity, tools, brand, superhuman, logo, company, trademark, identity"
brand-supernova,轮廓线,outline,"editor, developer, tools, technology, design, brand, supernova, logo, company, trademark"
brand-surfshark,轮廓线,outline,"vpn, security, ip, network, private, brand, surfshark, logo, company, trademark"
brand-svelte,轮廓线,outline,"programming, coding, interface, web app, brand, svelte, logo, company, trademark, identity"
brand-swift,轮廓线,outline,"programming, language, code, apple, development, software, swiftly, fast, application, mobile"
brand-symfony,轮廓线,outline,"framework, php, software, build, web, application, brand, symfony, logo, company"
brand-tabler,轮廓线,outline,"logo, website, dashboard, download, open-source, ui, brand, tabler, company, trademark"
brand-tabnine,轮廓线,outline,"ai, code, completion, assistant, programming, ide, brand, logo, autocomplete, developer"
brand-tailwind,轮廓线,outline,"logo, firm, website, brand, tailwind, company, trademark, identity, corporate, business"
brand-taobao,轮廓线,outline,"china, platform, shopping, online, brand, taobao, logo, company, trademark, identity"
brand-teams,轮廓线,outline,"microsoft, technology, brand, teams, logo, company, trademark, identity, corporate, business"
brand-ted,轮廓线,outline,"nonprofit, website, scientific, conferences, organised, brand, ted, logo, company, trademark"
brand-telegram,轮廓线,outline,"logo, app, application, communicator, internet, cloud, messages, text, images, photos, videos, record, file, send"
brand-terraform,轮廓线,outline,"infrastructure, cloud, automation, devops, provisioning, configuration, software, platform, tool, orchestration"
brand-tesla,轮廓线,outline,"tesla, vehicle, motor, car, electricity, electric, ai, brand, logo, company"
brand-tether,轮廓线,outline,"coin, crypto, cryptocurrency, digital, brand, tether, logo, company, trademark, identity"
brand-thingiverse,轮廓线,outline,"design, model, 3d, community, printing, prototype, repository, creation, digital, art"
brand-threads,轮廓线,outline,"textile, discussion, conversation, needlework, clothing, forum, dialogue, social, sewing, fabric"
brand-threejs,轮廓线,outline,"javascript, 3d, library, interface, software, make, animation, brand, threejs, logo"
brand-tidal,轮廓线,outline,"technology, subscription, music, podcast, video, streaming, playlist, party, track, song"
brand-tiktok,轮廓线,outline,"logo, app, application, mobile, video, music, brand, tiktok, company, trademark"
brand-tinder,轮廓线,outline,"date, dating, app, love, affection, affair, couple, technology, networking, swipe, match"
brand-topbuzz,轮廓线,outline,"video, gif, articles, news, brand, topbuzz, logo, company, trademark, identity"
brand-torchain,轮廓线,outline,"coin, crypto, cryptocurrency, digital, brand, torchain, logo, company, trademark, identity"
brand-toyota,轮廓线,outline,"car, transport, transportation, brand, toyota, logo, company, trademark, identity, corporate"
brand-trello,轮廓线,outline,"visual, tool, board, kanban, brand, trello, logo, company, trademark, identity"
brand-tripadvisor,轮廓线,outline,"travel, trip, tourism, website, brand, tripadvisor, logo, company, trademark, identity"
brand-tumblr,轮廓线,outline,"logo, website, platform, blog, community, brand, tumblr, company, trademark, identity"
brand-twilio,轮廓线,outline,"communication, answering, calls, messages, brand, twilio, logo, company, trademark, identity"
brand-twitch,轮廓线,outline,"logo, platform, streaming, streamers, videos, films, chat, subs, brand, twitch"
brand-twitter,轮廓线,outline,"logo, app, application, community, social, communication, website, user, post, images, photos, comment, feedback"
brand-typescript,轮廓线,outline,"language, programmers, opensource, javascript, brand, typescript, logo, company, trademark, identity"
brand-uber,轮廓线,outline,"taxi, transport, car, food, brand, uber, logo, company, trademark, identity"
brand-ubuntu,轮廓线,outline,"os, operating, system, linux, gnu, brand, ubuntu, logo, company, trademark"
brand-unity,轮廓线,outline,"engine, creation, 3d, 2d, brand, unity, logo, company, trademark, identity"
brand-unsplash,轮廓线,outline,"picture, photo, photography, search, stock, brand, unsplash, logo, company, trademark"
brand-upwork,轮廓线,outline,"freelancer, software, finance, brand, upwork, logo, company, trademark, identity, corporate"
brand-valorant,轮廓线,outline,"game, fps, videogame, shooter, brand, valorant, logo, company, trademark, identity"
brand-vercel,轮廓线,outline,"develop, preview, programmers, build, publish, brand, vercel, logo, company, trademark"
brand-vimeo,轮廓线,outline,"logo, website, sharing, watching, video, users, brand, vimeo, company, trademark"
brand-vinted,轮廓线,outline,"website, clothes, trading, exchange, sale, shopping, brand, vinted, logo, company"
brand-visa,轮廓线,outline,"payment, card, method, pay, brand, visa, logo, company, trademark, identity"
brand-visual-studio,轮廓线,outline,"software, microsoft, programming, developers, coding, brand, visual, studio, see, view"
brand-vite,轮廓线,outline,"software, building, tool, programming, web, projects, brand, vite, logo, company"
brand-vivaldi,轮廓线,outline,"browser, internet, web, free, program, brand, vivaldi, logo, company, trademark"
brand-vk,轮廓线,outline,"technology, social, media, networking, service, russian, brand, logo, company, trademark"
brand-vlc,轮廓线,outline,"media, video, audio, player, software, streaming, open-source, format, playlist, multimedia"
brand-volkswagen,轮廓线,outline,"car, vehicle, transportation, van, traveling, brand, volkswagen, logo, company, trademark"
brand-vsco,轮廓线,outline,"photography, application, brand, vsco, logo, company, trademark, identity, corporate, business"
brand-vscode,轮廓线,outline,"code, editor, software, brand, vscode, logo, company, trademark, identity, corporate"
brand-vue,轮廓线,outline,"programming, coding, javascript, document, software, brand, vue, logo, company, trademark"
brand-walmart,轮廓线,outline,"shop, supermarket, food, drinking, groceries, shopping, brand, walmart, logo, company"
brand-waze,轮廓线,outline,"software, navigation, satellite, mobile, phone, brand, waze, logo, company, trademark"
brand-webflow,轮廓线,outline,"web, website, creation, brand, webflow, logo, company, trademark, identity, corporate"
brand-wechat,轮廓线,outline,"china, communicator, social, media, software, brand, wechat, logo, company, trademark"
brand-weibo,轮廓线,outline,"china, share, messages, internet, service, brand, weibo, logo, company, trademark"
brand-whatsapp,轮廓线,outline,"logo, app, application, communication, text, messages, communicator, photos, images, videos, giphy"
brand-wikipedia,轮廓线,outline,"encyclopedia, information, knowledge, online, resource, articles, community, edit, content, support"
brand-windows,轮廓线,outline,"logo, system, os, computer, microsoft, brand, windows, company, trademark, identity"
brand-windy,轮廓线,outline,"weather, sun, cold, hot, rain, forecast, brand, windy, logo, company"
brand-wish,轮廓线,outline,"shopping, online, tools, gadgets, toys, brand, wish, logo, company, trademark"
brand-wix,轮廓线,outline,"logo, maker, web, website, brand, wix, company, trademark, identity, corporate"
brand-wordpress,轮廓线,outline,"logotype, web, website, glyph, social, brand, wordpress, logo, company, trademark"
brand-x,轮廓线,outline,"twitter, brand, logo, company, trademark, identity, corporate, business, x"
brand-xamarin,轮廓线,outline,"development, platform, mobile, application, cross-platform, framework, software, coding, tools, technology"
brand-xbox,轮廓线,outline,"game, console, videogame, controller, brand, xbox, logo, company, trademark, identity"
brand-xdeep,轮廓线,outline,"diving, equipment, underwater, gear, adventure, exploration, submarine, scuba, ocean, dive"
brand-xing,轮廓线,outline,"web, media, network, site, social, brand, xing, logo, company, trademark"
brand-yahoo,轮廓线,outline,"web, services, technology, inbox, mail, news, search, brand, yahoo, logo"
brand-yandex,轮廓线,outline,"search, engine, technology, internet, russian, service, online, firm, web, tool"
brand-yarn,轮廓线,outline,"package, manager, npm, software, dependency, tool, development, node, project, setup"
brand-yatse,轮廓线,outline,"multimedia, technology, pilot, software, android, brand, yatse, logo, company, trademark"
brand-ycombinator,轮廓线,outline,"startup, accelerator, seed, money, launch, company, business, invest, funding, brand"
brand-youtube-kids,轮廓线,outline,"video, program, young, children, maker, stories, youtuber, brand, youtube, kids"
brand-youtube,轮廓线,outline,"logo, platform, channel, film, video, youtuber, maker, comments, stream, streamer"
brand-zalando,轮廓线,outline,"footwear, shoes, clotches, app, online, shop, brand, zalando, logo, company"
brand-zapier,轮廓线,outline,"automated, create, app, buissnes, brand, zapier, logo, company, trademark, identity"
brand-zeit,轮廓线,outline,"consulting, software, brand, zeit, logo, company, trademark, identity, corporate, business"
brand-zhihu,轮廓线,outline,"forum, make, question, answers, website, brand, zhihu, logo, company, trademark"
brand-zoom,轮廓线,outline,"program, video, chat, meetings, online, brand, zoom, logo, company, trademark"
brand-zulip,轮廓线,outline,"chat, software, phyton, javascript, brand, zulip, logo, company, trademark, identity"
brand-zwift,轮廓线,outline,"technology, bike, sport, movement, game, brand, zwift, logo, company, trademark"
bread-off,轮廓线,outline,"food, breakfast, sandwich, toast, baking, bread, off, meal, cuisine, disabled"
bread,轮廓线,outline,"food, breakfast, sandwich, toast, baking, bread, meal, cuisine, eating, nutrition"
briefcase-2,轮廓线,outline,"bag, baggage, folder, carrier, documents, suitcase, job, work, luggage, briefcase"
briefcase-off,轮廓线,outline,"bag, baggage, folder, carrier, documents, suitcase, job, work, luggage, briefcase"
briefcase,轮廓线,outline,"bag, baggage, folder, carrier, documents, suitcase, job, work, luggage, briefcase"
brightness-2,轮廓线,outline,"light, screen, level, daytime, sun, brightness, camera, picture, capture, image"
brightness-auto,轮廓线,outline,"adjustment, sensor, light, screen, display, automatic, control, level, adaptation, contrast"
brightness-down,轮廓线,outline,"dark, darker, screen, brightness, down, bottom, decrease, fall, downward, camera"
brightness-half,轮廓线,outline,"light, screen, level, daytime, sun, brightness, half, camera, picture, image"
brightness-off,轮廓线,outline,"light, dark, screen, brightness, off, disabled, inactive, camera, picture, image"
brightness-up,轮廓线,outline,"light, screen, brightness, top, increase, rise, upward, up, camera, picture"
brightness,轮廓线,outline,"light, dark, screen, brightness, camera, picture, capture, lens, image"
broadcast-off,轮廓线,outline,"communication, tv, signal, media, sound, connection, network, broadcast, off, hardware"
broadcast,轮廓线,outline,"communication, tv, signal, media, sound, connection, network, broadcast, hardware, technology"
browser-check,轮廓线,outline,"internet, web, display, done, tick, browser, check, hardware, technology, confirm"
browser-maximize,轮廓线,outline,"expand, enlarge, fullscreen, zoom, enhance, magnify, increase, amplify, widen, stretch"
browser-minus,轮廓线,outline,"reduce, minimize, shrink, narrow, contract, lessen, decrease, diminish, lower, detract"
browser-off,轮廓线,outline,"internet, web, display, browser, off, hardware, technology, disabled, inactive, electronic"
browser-plus,轮廓线,outline,"internet, web, display, new, add, browser, plus, hardware, technology, more"
browser-share,轮廓线,outline,"distribute, post, publish, forward, send, divulge, communicate, transmit, spread, propagate"
browser-x,轮廓线,outline,"internet, web, display, close, browser, hardware, technology, electronic, gadget, equipment"
browser,轮廓线,outline,"internet, web, display, browser, hardware, technology, electronic, gadget, equipment"
brush-off,轮廓线,outline,"paint, art, picture, paintbrush, painter, theme, brush, off, creative, artistic"
brush,轮廓线,outline,"paint, art, picture, paintbrush, painter, theme, brush, creative, artistic, visual"
bubble-minus,轮廓线,outline,"comment, chat, reply, communication, conversation, faq, message, text, bubble, minus"
bubble-plus,轮廓线,outline,"comment, chat, reply, communication, conversation, faq, message, text, bubble, plus"
bubble-tea-2,轮廓线,outline,"drink, taiwanese, flavor, boba, beverage, refreshment, sweet, pearl, milk, tapioca"
bubble-tea,轮廓线,outline,"drink, taiwanese, flavor, boba, beverage, refreshment, sweet, pearl, milk, tapioca"
bubble-text,轮廓线,outline,"comment, chat, reply, communication, conversation, faq, message, text, bubble, contact"
bubble-x,轮廓线,outline,"comment, chat, reply, communication, conversation, faq, message, text, bubble, contact"
bubble,轮廓线,outline,"comment, chat, reply, communication, conversation, faq, message, text, bubble, contact"
bucket-droplet,轮廓线,outline,"water, liquid, drop, tool, fill, bucket, droplet, creative, artistic, visual"
bucket-off,轮廓线,outline,"collection, container, water, liquid, bucket, off, creative, artistic, disabled, inactive"
bucket,轮廓线,outline,"collection, container, water, liquid, bucket, creative, artistic, visual, aesthetic, style"
bug-off,轮廓线,outline,"germ, insect, error, nature, bug, off, programming, software, disabled, inactive"
bug,轮廓线,outline,"germ, insect, error, nature, bug, programming, software, coding, technical, developer"
building-airport,轮廓线,outline,"terminal, flight, travel, aviation, hub, transportation, aircraft, facility, runway, airport"
building-arch,轮廓线,outline,"arc, curve, dome, monument, history, architecture, building, arch, structure, construction"
building-bank,轮廓线,outline,"architecture, city, urban, construction, money, credit, loan, workplace, building, bank"
building-bridge-2,轮廓线,outline,"architecture, urban, river, overpass, city, countryside, building, bridge, structure, construction"
building-bridge,轮廓线,outline,"architecture, urban, river, overpass, city, countryside, building, bridge, structure, construction"
building-broadcast-tower,轮廓线,outline,"communication, internet, signal, building, broadcast, tower, architecture, structure, construction, property"
building-burj-al-arab,轮廓线,outline,"hotel, dubai, landmark, luxury, architecture, sail, iconic, resort, skyline, tourism"
building-carousel,轮廓线,outline,"amusement, park, fair, merry-go-round, fun, entertaianment, building, carousel, architecture, structure"
building-castle,轮廓线,outline,"king, queen, royal, architecture, medieval, middle, ages, nobility, tower, fortress, fort, fortification, princess, prince"
building-church,轮廓线,outline,"religion, chapel, sanctuary, temple, cathedral, pray, prayer, building, church, architecture"
building-circus,轮廓线,outline,"tent, show, carnival, clown, building, circus, architecture, structure, construction, property"
building-cog,轮廓线,outline,"flat, office, city, urban, scyscraper, architecture, construction, building, cog, structure"
building-community,轮廓线,outline,"place, skyscraper, district neighborhood, area, building, community, architecture, structure, construction, property"
building-cottage,轮廓线,outline,"small, house, countryside, live, farm, rural, outskirts, building, cottage, architecture"
building-estate,轮廓线,outline,"office, property, work, architecture, building, estate, structure, construction, interface, component"
building-factory-2,轮廓线,outline,"goods, manufature, machine, trade, produce, product, worker, industry, industrial, site"
building-factory,轮廓线,outline,"goods, manufature, machine, trade, produce, product, worker, industry, industrial, site"
building-fortress,轮廓线,outline,"military, town, defend, attack, stronghold, protect, protection, medieval, building, fortress"
building-hospital,轮廓线,outline,"doctor, sickness, illness, nurse, medication, emergency, treat, surgery, building, hospital"
building-lighthouse,轮廓线,outline,"light, sea, tower, beacon, flash, ship, guide, lightship, leading, watchtower, signal"
building-minus,轮廓线,outline,"flat, office, city, urban, scyscraper, architecture, construction, building, minus, structure"
building-monument,轮廓线,outline,"history, memorial, commemorative, building, monument, architecture, structure, construction, property, interface"
building-mosque,轮廓线,outline,"worship, religion, islam, architecture, prayer, dome, minaret, community, faith, sacred"
building-off,轮廓线,outline,"flat, office, city, urban, scyscraper, architecture, construction, building, off, structure"
building-pavilion,轮廓线,outline,"place, party, residence, ornamentation, building, pavilion, architecture, structure, construction, property"
building-plus,轮廓线,outline,"flat, office, city, urban, scyscraper, architecture, construction, building, plus, structure"
building-skyscraper,轮廓线,outline,"city, urban, office, workplace, corporation, hotel, apartments, building, skyscraper, architecture"
building-stadium,轮廓线,outline,"construciton, estate, football, supporters, building, stadium, architecture, structure, construction, property"
building-store,轮廓线,outline,"shopping, shop, supermarket, market, products, retail, buy, sell, building, store"
building-tunnel,轮廓线,outline,"train, road, underground, subway, building, tunnel, architecture, structure, construction, property"
building-warehouse,轮廓线,outline,"store, inventory, stuff, things, machinery, building, warehouse, architecture, structure, construction"
building-wind-turbine,轮廓线,outline,"power, ecology, electricity, energy, building, wind, turbine, architecture, structure, construction"
building,轮廓线,outline,"flat, office, city, urban, scyscraper, architecture, construction, building, structure, property"
buildings,轮廓线,outline,"flat, office, city, urban, scyscraper, architecture, construction, buildings, structure, property"
bulb-off,轮廓线,outline,"energy, power, electricity, creativity, light, idea, bulb, off, disabled, inactive"
bulb,轮廓线,outline,"energy, power, electricity, creativity, light, idea, bulb"
bulldozer,轮廓线,outline,"tractor, construction, site, build, rear, machine, bulldozer, transport, travel, vehicle"
burger,轮廓线,outline,"food, sandwich, beef, cheese, lettuce, bun, fastfood, delicious, grill, meal"
bus-off,轮廓线,outline,"vehicle, drive, driver, engine, motor, journey, trip, bus, off, transport"
bus-stop,轮廓线,outline,"transport, station, city, travel, bus, stop, vehicle, automobile, mobility"
bus,轮廓线,outline,"vehicle, drive, driver, engine, motor, journey, trip, bus, transport, travel"
businessplan,轮廓线,outline,"business, money, corporate, document, goal, achieve, manage, roadmap, grow, businessplan"
butterfly,轮廓线,outline,"animal, insect, nature, fly, wings, butterfly, environment, natural, outdoor, ecosystem"
cactus-off,轮廓线,outline,"plant, desert, spikes, nature, garden, cactus, off, environment, natural, disabled"
cactus,轮廓线,outline,"plant, desert, spikes, nature, garden, cactus, environment, natural, outdoor, ecosystem"
